Aporte_CHCP,Aporte_Gatun,Aporte_Alhajuela,Evaporacion,Nivel_Lago_Gatun,ACL,ESC,GAM,GAT,GTW,ONI,Año,Mes,Dia
38.31038588117295,25.06118198033194,13.249203900841003,1.95663133607314,25.013888762096773,25.0,30.0,0.0,37.0,45.0,0.84,2019,3,14
80.49307419854523,44.94092961798181,35.55214458056342,1.3449419289571936,24.57949374583333,296.0,198.0,65.0,224.0,244.0,0.77,2019,4,14
108.46633795672945,67.5155206800108,40.950817276718645,0.9713627503402352,24.30985971278519,256.0,321.0,316.0,203.0,176.0,0.64,2019,5,14
132.94714030972457,82.87285966581183,50.07428064391272,0.7923159554644345,24.234657645666093,177.0,137.0,292.0,212.0,199.0,0.52,2019,6,14
176.22683398233622,99.5636090496184,76.66322493271781,0.834142504639487,24.569933633064515,330.0,332.0,182.0,305.0,323.0,0.33,2019,7,14
187.13938901381707,119.64273174407371,67.49665726974332,0.7067758350175963,24.692405161290324,350.0,314.0,227.0,329.0,340.0,0.19,2019,8,14
190.2005990627653,125.01048198702712,65.19011707573817,0.885341880403908,24.86187824583333,270.0,184.0,101.0,125.0,65.0,0.23,2019,9,14
239.02895514176467,143.53410567554667,95.49484946621796,0.8367763768000416,24.958778443548383,273.0,480.0,200.0,245.0,202.0,0.39,2019,10,14
223.38611066621917,130.62284330188663,92.7632673643325,1.1419720470567662,25.21155268752048,282.0,429.0,137.0,496.0,473.0,0.58,2019,11,14
116.63536735019449,62.60129549038811,65.50423624663058,1.2873521652964977,25.522608258064515,264.0,521.0,43.0,384.0,367.0,0.66,2019,12,14
55.05097245520988,25.96844456494984,46.19964664843363,1.7105475161758417,25.43122100403226,34.0,54.0,27.0,46.0,47.0,0.64,2020,1,14
33.09642218497873,14.31536356120746,18.78105862377127,2.032023137902592,24.99405982758621,42.0,79.0,1.0,43.0,40.0,0.63,2020,2,14
52.84261512500449,30.292377582355385,22.550237542649104,1.7773093542131528,24.682658423387096,82.0,138.0,50.0,93.0,98.0,0.53,2020,3,14
114.45519244690963,78.83201140288351,35.62318104402612,1.2373573026073137,24.5676372375,54.0,112.0,85.0,147.0,160.0,0.3,2020,4,14
180.25079858331176,110.03767984790866,70.21311873540306,0.8481284135226221,24.77214787897532,281.0,460.0,325.0,202.0,162.0,0.01,2020,5,14
207.50057667169,122.3116524361018,85.1889242355881,0.7130673762587122,25.2622827875,277.0,511.0,207.0,280.0,317.0,-0.23,2020,6,14
197.1754882876896,109.97010542096857,87.20538286672102,0.8804874570476074,25.743326411821823,274.0,470.0,221.0,419.0,389.0,-0.36,2020,7,14
204.6001002705396,115.56530436214508,89.03479590839449,1.0493090276246912,26.07866597983871,335.0,384.0,136.0,227.0,227.0,-0.53,2020,8,14
211.89502813101083,128.5806962669381,83.31433186407274,1.0438286361651088,26.36823504412093,275.0,333.0,250.0,227.0,173.0,-0.85,2020,9,14
244.71586081310528,158.9511188796178,85.76474193348751,1.1647105506081388,26.49350021370968,286.0,229.0,286.0,175.0,158.0,-1.12,2020,10,14
247.8277888094456,145.63778612421984,102.19000268522583,1.0071017999475589,26.73630927211385,487.0,451.0,299.0,488.0,465.0,-1.2,2020,11,14
134.74889315509353,60.67916429736504,80.44342987073553,1.2661168587180571,26.90108264516129,291.0,276.0,44.0,156.0,157.0,-1.08,2020,12,14
61.35669349732295,26.59951700773894,41.876089393697306,1.9069000192872467,26.62819754032258,27.0,74.0,10.0,58.0,243.56,-0.91,2021,1,14
57.76326129989375,26.991103280018507,30.772158019875253,1.9550743146443628,26.248945674107144,85.0,103.0,28.0,109.0,97.0,-0.79,2021,2,14
112.73190478049804,57.76913611704367,54.96276866345433,1.6126548184840783,25.92025191532258,101.0,299.0,41.0,157.0,162.0,-0.71,2021,3,14
156.00760831181805,87.83612235562454,68.1714859561935,1.2457169890716655,25.8676060625,184.0,402.0,145.0,81.0,102.0,-0.55,2021,4,14
213.023023269311,139.34698366234815,73.67603960696279,1.094049904287138,25.959715629032257,328.0,455.0,422.0,313.0,330.0,-0.39,2021,5,14
269.7524030116593,163.40131393728043,106.35108907437876,0.9528277550053328,26.256952079166663,234.0,204.0,201.0,230.0,247.0,-0.3,2021,6,14
295.48356121403253,181.91646120908092,113.56710000495164,0.8179868892337648,26.30414475,416.0,462.0,423.0,548.0,462.0,-0.35,2021,7,14
259.3425850093785,157.80662693139368,101.53595807798484,0.8357710734563684,26.38851422983871,455.0,294.0,372.0,305.0,311.0,-0.45,2021,8,14
247.28114692949535,164.58980852661324,82.69133840288214,0.808490315259722,26.32130854387525,373.0,228.0,269.0,278.0,300.0,-0.63,2021,9,14
286.32099761504486,191.6693680758911,94.65162953915376,0.8184087141410773,26.59924973387097,405.0,302.0,317.0,416.0,466.0,-0.76,2021,10,14
235.63399935301769,146.71279466712463,88.921204685893,0.8619455505882484,26.89732576666667,422.0,499.0,147.0,410.0,413.0,-0.91,2021,11,14
387.1228159904074,279.97497667364155,90.27691970654776,1.2594488923133471,26.95054658467742,125.0,237.0,115.0,137.0,243.56,-0.87,2021,12,14
514.2915265866486,346.9397478069543,148.33527904521242,1.5968395942241147,26.40897710483871,80.0,98.0,16.0,71.0,116.0,-0.82,2022,1,14
160.9445267662073,95.31437254419876,65.63015422200854,1.4402390218347267,26.077099933035715,53.0,210.0,19.0,104.0,109.0,-0.79,2022,2,14
135.62633013121533,66.3702953961784,69.25603473503695,1.326346490560452,25.9404899544444,139.0,312.0,45.0,147.0,169.0,-0.86,2022,3,14
170.02388332154283,96.53485781222912,73.4890255093137,0.9642326889402628,25.981880154237373,357.0,189.0,279.0,366.0,379.0,-0.95,2022,4,14
240.45771795343543,148.81836295230656,91.63935500112888,0.7494244882337325,26.28420452096774,380.0,283.0,211.0,360.0,377.0,-0.9,2022,5,14
328.858482318515,195.43713873293245,133.4213435855825,0.6740465996811378,26.506381557365238,657.0,630.0,282.0,434.0,434.0,-0.78,2022,6,14
312.3542875834184,186.70440239736996,125.6498851860484,0.650815486119739,26.64376697217742,571.0,332.0,315.0,451.0,440.0,-0.76,2022,7,14
270.74223842117715,161.21048979285646,109.53174862832068,0.8390359973170083,26.602365074596776,293.0,304.0,247.0,391.0,358.0,-0.87,2022,8,14
273.05221652639983,169.90332434717743,103.1488921792224,0.8325419798812462,26.573087517083334,267.0,314.0,126.0,299.0,325.0,-0.97,2022,9,14
277.9738402288452,183.77743898955828,94.19640123928691,0.7269684850821263,26.669080234088177,335.0,201.0,314.0,300.0,287.0,-0.94,2022,10,14
147.92686924834646,84.69978382315288,63.22708542519358,0.910023805746814,27.01259424119825,311.0,393.0,146.0,314.0,302.0,-0.85,2022,11,14
90.0683216903225,43.07836936482371,49.38596637565777,1.0582829037061487,26.78580510362903,158.0,202.0,35.0,91.0,142.0,-0.71,2022,12,14
49.47515197031069,20.37248164186978,30.912428291700166,1.6594393548637576,26.351717874596773,8.0,88.0,6.0,31.0,51.0,-0.54,2023,1,14
31.79748573459617,12.694394179000488,19.10309155559569,1.7093575405796535,25.93652879241072,19.0,49.0,20.0,6.0,8.0,-0.29,2023,2,14
27.494940911535505,11.33286388600428,16.162077025531225,1.7965870844057328,25.586978925,11.0,93.0,44.0,40.0,46.0,-0.02,2023,3,14
58.49428013453562,32.33471025323892,26.1595698812967,1.5603536745946764,25.014865938333333,15.0,31.0,26.0,0.0,3.0,0.27,2023,4,14
94.73809315913007,49.53516398067729,45.2029291784528,0.99312599925192,24.482691187903225,249.0,291.0,232.0,126.0,119.0,0.57,2023,5,14
123.87551080498652,61.87415839120679,62.001352413779735,0.7243766437812598,24.28644495,275.0,320.0,230.0,450.0,441.0,0.84,2023,6,14
143.4407654228197,58.98185148132981,84.45891394148988,0.8750524807123866,24.229542702419355,300.0,545.0,243.0,251.0,249.0,1.12,2023,7,14
144.02370056452992,78.21613987907196,65.80756068545793,0.825713204184234,24.26783069314516,357.0,255.0,90.0,335.0,340.0,1.37,2023,8,14
142.65450928204453,82.17718211173786,60.47732717030666,0.8716780168706549,24.35097073958333,197.0,250.0,138.0,228.0,237.0,1.6,2023,9,14
199.2581422622948,123.27658647923649,75.98155578305827,0.8036078427338383,24.372255982258064,207.0,193.0,234.0,354.0,354.0,1.83,2023,10,14
114.9294680252439,64.31840807318673,50.6110599520572,1.0676822329808442,24.85513338166667,265.0,258.0,249.0,192.0,173.0,1.99,2023,11,14
60.16385375791482,31.84061442948262,42.82395338657861,1.1851647480309997,24.86031688350416,137.0,161.0,86.0,174.0,155.0,2.06,2023,12,14
38.46681065558291,19.113880467218625,29.85194671998082,1.518453095738452,24.76330234107049,42.0,46.0,0.0,37.0,50.0,1.92,2024,1,14
32.066439657094136,14.570468659269432,17.495970997824706,1.6422334669946828,24.616376881259768,74.0,96.0,2.0,53.0,58.0,1.62,2024,2,14
68.47291849350512,28.64638242091333,39.82653607259178,1.4615260606101896,24.50837869646036,131.0,32.0,81.0,87.0,79.0,1.26,2024,3,14
111.69941063827616,58.80928450032166,52.89012613795448,1.1208661401719415,24.499297584691035,273.0,421.0,73.0,127.0,127.0,0.82,2024,4,14
167.2747616440676,92.64593197271124,74.62882967135636,0.7046581834375054,24.740156124381507,389.0,327.0,298.0,440.0,439.0,0.49,2024,5,14
169.02880307070836,90.4102276153954,78.61857545531298,1.0582829037061487,25.285052558706997,304.0,290.0,136.0,359.0,343.0,0.22,2024,6,14
163.4061209029922,97.60641118921437,66.97277318015101,1.0582829037061487,25.768764519646982,254.0,245.0,364.0,298.0,306.0,0.08,2024,7,14
163.4061209029922,97.60641118921437,66.97277318015101,0.752709752728517,26.150283270708883,268.0,175.0,173.0,216.0,317.0,-0.07,2024,8,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7743291254036698,26.277818524091845,156.0,146.0,88.0,173.0,174.0,-0.17,2024,9,14
163.4061209029922,97.60641118921437,66.97277318015101,0.728491791293984,26.62411899601821,483.0,522.0,364.0,669.0,612.0,-0.21,2024,10,14
163.4061209029922,97.60641118921437,66.97277318015101,0.962682003028326,26.876115703604537,380.0,340.0,223.0,320.0,342.0,-0.3,2024,11,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7344730171513341,27.041884353093504,482.0,332.0,114.0,370.0,375.0,-0.42,2024,12,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7582834636227764,26.88038185,10.0,76.0,2.0,37.0,34.0,-0.45,2025,1,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7619233350694511,26.648030984375,72.0,62.0,102.0,30.0,27.0,-0.24,2025,2,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7330795264467,26.393652955525887,208.0,164.0,35.0,157.0,161.0,-0.06,2025,3,14
163.4061209029922,97.60641118921437,66.97277318015101,0.5954710041550109,26.20090944937766,610.0,802.0,262.0,282.0,300.0,0.02,2025,4,14
163.4061209029922,97.60641118921437,66.97277318015101,0.3671422399844736,26.249109441376405,267.0,597.0,399.0,303.0,306.0,-0.02,2025,5,14
163.4061209029922,97.60641118921437,66.97277318015101,0.3661638222331944,26.35216278324009,321.0,387.0,344.0,229.0,284.0,-0.04,2025,6,14
163.4061209029922,97.60641118921437,66.97277318015101,0.4598474397968061,26.320975978723045,278.0,271.0,313.0,260.0,288.0,-0.14,2025,7,14
163.4061209029922,97.60641118921437,66.97277318015101,0.3822867914341728,26.341804938880998,390.0,431.0,405.0,236.0,269.0,-0.28,2025,8,14
163.4061209029922,97.60641118921437,66.97277318015101,0.3870599245067316,26.46048611631472,218.0,176.0,145.0,110.0,95.0,-0.4,2025,9,14
163.4061209029922,97.60641118921437,66.97277318015101,0.3706229538285336,26.68800506653226,632.0,469.0,254.0,575.0,636.0,-0.51,2025,10,14
163.4061209029922,97.60641118921437,66.97277318015101,0.3903174860634873,26.99667495625,615.0,823.0,303.0,862.0,862.0,-0.55,2025,11,14
163.4061209029922,97.60641118921437,66.97277318015101,0.6454439589244285,27.060903593145163,228.0,363.0,59.0,293.0,288.0,-0.54,2025,12,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7242325043275996,27.03532329943182,420.0,304.0,90.0,281.0,310.0,-0.37,2026,1,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7660569726783922,26.99322829208884,89.0,274.0,19.0,97.0,73.0,-0.14,2026,2,14
163.4061209029922,97.60641118921437,66.97277318015101,0.8691716464587453,26.632150159274197,96.0,129.0,15.0,143.0,113.0,0.13,2026,3,14
163.4061209029922,97.60641118921437,66.97277318015101,0.7253611851904808,26.23360618298426,176.0,230.0,313.0,197.0,220.0,0.51,2026,4,14
163.4061209029922,97.60641118921437,66.97277318015101,0.4949721721468241,26.00837128504431,192.0,329.0,74.0,162.0,166.0,0.98,2026,5,14
